（None）,（None）
-,-
Orb of Tranquility,Sfera della Tranquillità
Act 1-2x,Agisce 1-2x
-,-
Tomboy Princess,Principessa Maschiaccio
Act 1-3x,Agisce 1-3x
Isolating Mist Blower,Soffiatore di Nebbia Isolante
Act 2x,Agisce 2x
Garden of Eden,Giardino dell’Eden
Act 2-3x,Agisce 2-3x
Fusion Expert,Esperto di Fusione
Act 3x,Agisce 3x
-,-
Act 3-4x,Agisce 3-4x
Beholder King,Re dell’Osservazione
Act 4x,Agisce 4x
Blind Ward,Para-Cecità
Tears of God,Lacrime di Dio
Pre-Oomph,Pre-Oomph
Resist Ward,Para-Resistenza
Miracle of Dermlin,Miracolo di Dermlin
Pre-Buff,Pre-Buff
MP Drain Ward,Para-Assorbimento PM
Pre-Accelerate,Pre-Accelerazione
-,-
Pre-Ping,Pre-Intellygo
-,-
Pre-Psycher,Pre-Psiche
Chance Oompher,Occasione Oomph
Chance Buffer,Occasione difensiva
Chance Accelerater,Occasione velocizzante
Chance Pinger,Occasione Intellygo
Chance Psycher,Occasione Psiche
Skill Growth Up,Crescita Abilità
Chance Red Mister,Occasione Nebbia rossa
HP Growth Up,Crescita PV
Chance Black Mister,Occasione Nebbia nera
MP Growth Up,Crescita PM
Chance White Mister,Occasione Nebbia bianca
Magic Miser,Salvamagia
Chance Underworld Mister,Occasione Nebbia degli inferi
Magic Scrooge,Risparmio magico
Chance Sublime Mister,Occasione Nebbia sublime
Chance Reverser,Occasione Ordine inverso
Chance Shuffler,Occasione Mescola
Chance Skipper,Occasione Multistop
Rare Super Psycher,Super caricatore raro
Rare Insulater,Rare Insulater
Scouter SP,Reclutatore SP
Rare Mist Me,Nebbiamica rara
DMG +1,DAN +1
-,-
DMG +2,DAN +2
Frizz Meister,Guru della Fiamma
Bouncer,Riflessione prolungata
Fizz Meister,Guru dello Spruzzo
Ba-Bouncer,Specchio magiflesso fisso
Woosh Meister,Guru del Vento
Quake Meister,Guru dei Colpi
Bang Meister,Guru del Bang
Crack Meister,Guru del Gelo
Zap Meister,Guru del Fulmine
Gravity Meister,Guru della Gravità
Sizz Meister,Guru del Pyro
Zam Meister,Guru dell'Elektron
Heal Meister,Guru della cura
-,-
Breath Meister,Guru dei respiri
-,-
Dance Meister,Guru delle danze
Frizz Ward+,Para-Fiamma+
Fizz Ward+,Para-Spruzzo+
Woosh Ward+,Para-Vento+
Quake Ward+,Para-Terra+
Bang Ward+,Para-Bang+
Crack Ward+,Para-Gelo+
Zap Ward+,Para-Fulmine+
Gravity Ward+,Para-Gravità+
Stasis Strike,Colpo Statico
Sizz Ward+,Para-Pyro+
Poisonous Attack,Attacco Velenoso
Zam Ward+,Para-Elektron+
Fuddle Ward+,Para-Confusione+
Sleep Ward+,Para-Sonno+
Paralysis Ward+,Para-Paralisi+
Stasis Ward+,Para-Stasi+
Poison Ward+,Para-Veleno+
Curse Ward+,Para-Maledizione+
Whack Ward+,Para-K.O.+
Blunt Ward+,Para-Hpmoo+
Vengeful Spirit,Spirito Vendicativo
Sap Ward+,Para-Debilis+
Last-ditch Effort,Sforzo Estremo
Slow Ward+,Para-Lentezza+
Dumb Ward+,Para-Ottuso+
Blind Ward+,Para-Cecità+
Desist Ward+,Para-Interdizione+
MP Drain Ward+,Para-Assorbimento PM+
Essence Drain Ward+,Para-Essenza+
All Ward+,Para-Tutti+
-,-
Small Body,Corpo Piccolo
Calm,Calma
Normal Body,Corpo Normale
-,-
Mega Body,Mega Corpo
Giga Body,Giga Corpo
Ultra Body,Ultra Corpo
Light Metal Body,Corpo Metallico Leggero
Metal Body,Corpo Metallico
Hard Metal Body,Corpo Metallico Duro
Ultra-Hard Metal Body,Corpo Metallico Ultra-Duro
Perilous Parrier,Difensore Pericoloso
Bladed Body,Corpo Lameggiante
Round Body,Corpo Rotondo
Peaceful Body,Corpo Pacifico
Numbing Body,Corpo Intorpidito
Sleepy Body,Corpo Sonnolento
Poisonous Body,Corpo Velenoso
Muddy Body,Corpo Fangoso
Miracle Body,Corpo Miracoloso
Absorbing Body,Corpo Assorbente
Sapping Body,Corpo Prosciugante
Δ Light Body,Corpo Δ Leggero
Δ Body,Corpo Δ 
Δ Large Body,Corpo Δ Grande
Δ Giant,Δ Gigante
-,-
Act 5x,Agisce 5x
Act 6x,Agisce 6x
Act 7x,Agisce 7x
Act 8x,Agisce 8x
-,-
Frizz Ward,Para-Fiamma
Heat Up,Scaldati!
Fizz Ward,Para-Spruzzo
Tit-for-Tat,Pan per focaccia
Woosh Ward,Para-Vento
Quake Ward,Para-Terra
Bang Ward,Para-Bang
Crack Ward,Para-Gelo
Zap Ward,Para-Fulmine
Gravity Ward,Para-Gravità
Cloak of Darkness,Mantello dell’Oscurità
Sizz Ward,Para-Pyro
Secret of Evolution,Segreto dell’Evoluzione
Zam Ward,Para-Elektron
Explosive Personality,Personalità Esplosiva
Confuse Ward,Para-Confusione
Nitty-gritty,Essenza delle Cose
Paralysis Warder,Custode Paralisi
Survival Instinct,Istinto di Sopravvivenza
Sleep Ward,Para-Sonno
Crafty Warder+,Astuzia Custode+
Crafty Poisoner+,Astuzia Velenosa+
Curse Ward,Para-Maledizione
Whack Ward,Para-K.O.
Buff Ward,Para-Buff
Hit and Away,Colpisci e Fuggi
Jamming Ward,Para-Disturbo
Luminary,Luminary
Complete Resist Ward,Para-Resistenza Totale
Berserker,Furioso
Super Resist Ward,Para-Resistenza Super
Tension Change,Cambio Tensione
Ultra Resist Ward,Para-Resistenza Ultra
-,-
-,-
-,-
-,-
-,-
-,-
-,-
Divine Protection,Protezione Divina
Escape Artist,Fuga da maestro
-,-
Preemptive Striker,Attaccante Preventivo
-,-
Artful Dodger,Evasione totale
Fly Swatter,Centro perfetto
Last Word,Ultimatum
Early Bird,Prima e meglio
Early Bird+,Prima e meglio+
Order Moodifier,Modificatore Ordine
Critical Demon,Demone del Critico
-,-
Desperado,Desperado
-,-
Renegade Caster,Mago Rinnegato
Desperation Nuker,Devastazione Disperata
Counter Attack,Contrattacco
Gamble Counter,Contro Azzardato
HP Regenerator+,Rigeneratore PV+
MP Regenerator+,Rigeneratore PM+
HP Gambit,Azzardo PV
Max HP +36,PV max +36
MP Gambit,Azzardo PM
Max HP +48,PV max +48
HP Roulette,Roulette dei PV
MP Roulette,Roulette del PM
ATK Roulette,Roulette dell'Attacco
DEF Roulette,Roulette della Difesa
AGI Roulette,Roulette dell'Agilità
INT Roulette,Roulette dell'Intelligenza
-,-
Max MP +72,PM max +72
-,-
Max MP +96,PM max +96
-,-
-,-
-,-
-,-
-,-
-,-
Hunter Mech,Cacciatore Meccanico
ATK +36,Attacco +36
Metal Killer,Ammazza Metallo
ATK +48,Attacco +48
Little Killer,Ammazza Piccoli
Giant Killer,Ammazza Giganti
Hopeful Hitter,Estremi opposti
Confusing Attack,Attacco Confondente
Sleep Attack,Attacco Soporifero
Paralyzing Attack,Attacco Paralizzante
Cursed Attack,Attacco Maledetto
K.O. Attack,Attacco K.O.
HP Sucker,Succhia-PV
MP Sucker,Succhia-PM
Essence Sucker,Succhia-Essenza
Comeback Kid,Ritorno a sorpresa
Close Scraper,Salvezza stentata
Last Stand,Ultima Resistenza
Final Breath,Ultimo Respiro
Grudge-bearer,Portatore di Rancore
Lucky,Fortunato
Unlucky,Sfortunato
Rabble Rouser,Alta tensione
Heckling Hector,Bassa tensione
Grumbler,Brontolone
Moody,Lunatico
Imposing,Presenza ingombrante
INT +72,Intelligenza +72
Lovely,Amabile
INT +96,Intelligenza +96
Scare Stare,Gardameh
Pressure,Pressione
Mad Mauler,Sfondatore Furioso
Bulldozer,Bulldozer
Shocking Impulse,Impulso Scioccante
Indomitable Spirit,Spirito Indomito
Madman's Resolve,Determinazione del Pazzo
Fanatic,Fanatico
Technique God,Dio della Tecnica
Sizz Ward,Para-Pyro
Sage,Saggio
Zam Ward,Para-Elektron
Heavens Thunder,Tuono Celeste
Deadly Breath,Respiro Mortale
Divine Dancer,Ballerino Divino
Proactive Hunter,Cacciatore Proattivo
Sore Loser,Perdente Iracondo
Rocket Start,Partenza a Razzo
Hidden Power,Potere Nascosto
Ripple of Light,Ondulazione di Luce
Ripple of Panic,Ondulazione del Panico
Jamming Ward,Para-Disturbo
Disruptive Wave,Onda distruttrice
Frizz Ward,Para-Fiamma
One-Shot Reversal,Ribaltamento Immediato
Violent Rager,Furia Violenta
Berserk Battler,Combattente Furioso
Reckless Defender,Difensore Spericolato
Runaway Train,Treno Fuori Controllo
Mad Scientist,Scienziato Pazzo
Protecter,Protettore
Zam Ward,Para-Elektron
Perfect Parry,Parata Perfetta
Fuddle Ward,Para-Confusione
Perfect Critical Guard,Guardia Critica Perfetta
Profound Piper,Suonatore Profondo
Buff Benefaction,Beneficio Potenziante
Sobering Slap,Schiaffo Rinvigorente
Medicinal Knowledge,Conoscenza Curativa
~,~
Defensive Instinct,Istinto Difensivo
Slow Ward,Para-Lentezza
Survival Instinct,Istinto di Sopravvivenza
Dumb Ward,Para-Ottuso
Second Wind,Seconda Chance
Wrath of the Stars,Ira delle Stelle
Boon of the Stars,Dono delle Stelle
Gift of the Stars,Regalo delle Stelle
Clan Pride,Orgoglio del Clan
Scouter+,Reclutatore+
Flurry x2,Raffica x2
AGI Boost,Bonus AGI
Flurry ×3,Raffica ×3
INT Growth Up,Crescita INT
Flurry ×4,Raffica ×4
Flurry ×5,Raffica ×5
Flurry ×6,Raffica ×6
-,-
-,-
-,-
Scout Up,Migliora Reclutamento M
Scouter,Reclutatore
Scout Up Large,Migliora Reclutamento L
Scouter+,Reclutatore+
Scout Up Small,Migliora Reclutamento S
-,-
-,-
-,-
-,-
-,-
Max HP +2,PV max +2
Magical Focus+,Focus Magico+
Max HP +4,PV max +4
Magical Focus SP,Focus Magico SP
Max HP +8,PV max +8
Max HP +12,PV max +12
Max HP +16,PV max +16
Max HP +20,PV max +20
Max HP +24,PV max +24
Max HP +30,PV max +30
Max MP +4,PM max +4
Max MP +8,PM max +8
Max MP +16,PM max +16
Max MP +24,PM max +24
Max MP +32,PM max +32
Max MP +40,PM max +40
Max MP +48,PM max +48
Max MP +60,PM max +60
ATK +2,Attacco +2
ATK +4,Attacco +4
ATK +8,Attacco +8
ATK +12,Attacco +12
ATK +16,Attacco +16
ATK +20,Attacco +20
ATK +24,Attacco +24
ATK +30,Attacco +30
DEF +4,Difesa +4
Beast Killer,Ammazza Bestie
DEF +8,Difesa +8
Nature Killer,Ammazza Natura
DEF +16,Difesa +16
DEF +24,Difesa +24
DEF +32,Difesa +32
DEF +40,Difesa +40
DEF +48,Difesa +48
DEF +60,Difesa +60
DEF +72,Difesa +72
DEF +96,Difesa +96
AGI +4,Agilità +4
Mad Magister,Mago Folle
AGI +8,Agilità +8
Iron Rending,Spezzacciaio
AGI +16,Agilità +16
AGI +24,Agilità +24
AGI +32,Agilità +32
AGI +40,Agilità +40
AGI +48,Agilità +48
AGI +60,Agilità +60
AGI +72,Agilità +72
AGI +96,Agilità +96
INT +4,Intelligenza +4
Super Artful Dodger,Super Evasione totale
INT +8,Intelligenza +8
Mythical Guard,Guardia Mitica
INT +16,Intelligenza +16
INT +24,Intelligenza +24
INT +32,Intelligenza +32
INT +40,Intelligenza +40
INT +48,Intelligenza +48
INT +8,Intelligenza +8
Frizz Ward,Para-Fiamma
Eerie Eyes,Sguardo Inquietante
Fizz Ward,Para-Spruzzo
Temptation,Tentazione
Woosh Ward,Para-Vento
Quake Ward,Para-Terra
Bang Ward,Para-Bang
Crack Ward,Para-Gelo
Zap Ward,Para-Fulmine
Gravity Ward,Para-Gravità
Confuse Ward,Para-Confusione
Gold Up MAX,Oro + MAX
Paralysis Ward,Para-Paralisi
Drop Up MAX,Drop + MAX
Sleep Ward,Para-Sonno
Crafty Warder,Astuzia Custode
Crafty Poisoner,Astuzia del Veleno
Curse Ward,Para-Maledizione
Whack Ward,Para-K.O.
Buff Ward,Para-Buff
Fizz Ward,Para-Spruzzo
Toughguy,Duro a Morire
Woosh Ward,Para-Vento
Moody,Lunatico
Quake Ward,Para-Terra
Bang Ward,Para-Bang
Crack Ward,Para-Gelo
Zap Ward,Para-Fulmine
Gravity Ward,Para-Gravità
Sizz Ward,Para-Pyro
Paralysis Ward,Para-Paralisi
Rubiss Charm,Amuleto di Rubiss
Sleep Ward,Para-Sonno
Sphere of Light,Sfera di Luce
Stasis Ward,Para-Stasi
Poison Ward,Para-Veleno
Curse Ward,Para-Maledizione
Whack Ward,Para-K.O.
Blunt Ward,Para-Ottundente
Sap Ward,Para-Indebolente
Essence Drain Ward,Para-Essenza
HP Boost,Bonus PV
MP Boost,Bonus PM
ATK Boost,Bonus ATT
DEF Boost,Bonus DIF
ATK Boost+,Bonus ATT+
DEF Boost+,Bonus DIF+
AGI Boost+,Bonus AGI+
INT Boost+,Bonus INT+
Skill Boost+,Bonus Abilità+
DMG +3,DAN +3
Critical Focus,Focus Critico
Critical Focus+,Focus Critico+
Critical Focus SP,Focus Critico SP
Magical Focus,Focus Magico
Tension Burner,Brucia-Tensione
Tension Burner+,Brucia-Tensione+
Tension Burner SP,Brucia-Tensione SP
Exp Boost,Bonus EXP
Exp Boost+,Bonus EXP+
Exp Boost SP,Bonus EXP SP
Gold Boost,Bonus Oro
Gold Boost+,Bonus Oro+
Gold Boost SP,Bonus Oro SP
Drop Up Small,Drop + S
Drop Up,Drop + M
Drop Up Large,Drop + L
HP Regenerator,Rigeneratore PV
MP Regenerator,Rigeneratore PM
Chance Oompher Small,Occasione Caricatore Piccolo
Chance Buffer Small,Occasione Potenziante Piccolo
Chance Pinger,Occasione Segnale
Chance Kapinger,Occasione Ultra-Segnale
Chance Psycher,Occasione Psichico
-,-
-,-
God of Ruin,Dio della Rovina
No-Guard,Nessuna Guardia
Overcharge,Sovraccarico
Last Stand,Ultima Resistenza
Dragon Beat,Battito del Drago
Slime Killer,Ammazza Slime
Dragon Killer,Ammazza Draghi
Devil Killer,Ammazza Demoni
Zombie Killer,Ammazza Zombie
Material Killer,Ammazza Materiali
Break Killer,Ammazza Corrotti
??? Killer,Ammazza ???
High Tension,Alta Tensione
Speed of Light,Velocità della Luce
Critical God,Dio del Critico
Magic Master,Maestro Magico
Fighting Spirit,Spirito Combattivo
Super Rabble Rouser,Super Incitatore
Chance Miracle of the Stars,Occasione Miracolo delle Stelle
Chance Prezinger,Occasione Ultra-Segnale
Always Couterwind,Controvento Fisso
Always Mirrorstep,Passo Specchio Fisso
Always Counter PHY,Contro Fisico Fisso
Super Magic Guard,Super Guardia Magica
Super Toughguy,Super Duro a Morire
Divine Protection,Protezione Divina
Hard-Boiled,Duro da Cuocere
Super Disruptve Wave,Super Onda Distruttrice
Super Wave of Panic,Super Onda del Panico
Super Wave of Light,Super Onda della Luce
Aura of Despair,Aura della Disperazione
Electricity God,Dio dell’Elettricità
Mysterious Spores,Spore Misteriose
Lord of the Haunt,Signore dell’Incubo
Super HP Regenerator,Super Rigeneratore PV
Super MP Regenerator,Super Rigeneratore PM
Recruitment Up MAX,Reclutamento MAX
Scout Up MAX,Reclutatore MAX
EXP Up MAX,EXP MAX
Chain Master,Maestro delle Catene
Rime Master,Maestro del Gelo
Slight of Sight,Mano Lesta
Reaper's Requiem,Requiem del Mietitore
Magic Guard,Guardia Magica
Preemptive Defender,Difensore Preventivo
Soul of the Great Bird,Anima del Grande Uccello
Mirror of the Sun,Specchio del Sole
Premier Body,Corpo Eccellente
Faerie's Flute,Flauto della Fata
-,-
Version α,Versione α
Version β,Versione β
-,-
Chance Red Mister,Occasione Nebbia rossa
Chance Black Mister,Occasione Nebbia nera
Chance White Mister,Occasione Nebbia bianca
Chance Underworld Mister,Occasione Nebbia degli inferi
Chance Blue Mister,Occasione Nebbia blu
Chance Psycher+,Occasione Psichico+
-,-
-,-
The water is fogged by mud!,L’acqua è offuscata dal fango!
